id_gminy,id,siedziba
6,72,"Zespół Szkolno-Przedszkolny, ul. Główna 50, 58-241 Piława Dolna"
6,73,"Świetlica wiejska, Owiesno 88, 58-262 Ostroszowice"
6,74,"Zespół Szkolno-Przedszkolny, ul. Bielawska 58, 58-262 Ostroszowice"
6,75,"Domek Myśliwski, Jodłownik 40, 58-262 Ostroszowice"
6,76,"Biuro Wychowawcy, Błotnista 12, 58-241 Piława Dolna"
7,77,"Szkoła Podstawowa im. Adama Mickiewicza, Jaźwina 79, 58-212 Jaźwina"
7,78,"Sala Wiejska, Ratajno 55, 58-210 Łagiewniki"
7,79,"Sala Wiejska, ul. Wesoła 9, 58-214 Oleszna"
7,80,"Sala Wiejska, Radzików 56, 58-210 Łagiewniki"
7,81,"Gminny Ośrodek Kultury, Bibliotek i Sportu, ul. Wrocławska 1, 58-210 Łagiewniki"
7,82,"Szkoła Podstawowa im. Jana Pawła II, ul. Jedności Narodowej 38, 58-210 Łagiewniki"
8,83,"Szkoła Podstawowa w Niemczy, ul. Bolesława Chrobrego 25, 58-230 Niemcza"
8,84,"Niemczański Ośrodek Kultury, ul. Rynek 32, 58-230 Niemcza"
8,85,"Dom Pomocy Społecznej, ul. Kolejowa 14 - 16, 58-230 Niemcza"
8,86,"Niepubliczna Szkoła Podstawowa, Przerzeczyn-Zdrój ul. Zdrojowa 14, 58-231 Niemcza"
8,87,"Budynek gminny, Wilków Wielki 26, 58-230 Niemcza"
8,88,"Niepubliczna Szkoła Podstawowa, Gilów 49, 58-217 Niemcza"
9,89,"Bielawski Inkubator Przedsiębiorczości Sala Konferencyjna, ul. Wolności 24, 58-260 Bielawa"
9,90,"Ekologiczna Szkoła Podstawowa nr 7 im. Juliana Tuwima, ul. Brzeżna 48, 58-260 Bielawa"
9,91,"Zespół Szkół i Placówek Kształcenia Zawodowego, ul. Stefana Żeromskiego 41, 58-260 Bielawa"
9,92,"Klub Spółdzielni Mieszkaniowej, Osiedle Włókniarzy 1, 58-260 Bielawa"
9,93,"Ekologiczna Szkoła Podstawowa nr 7 im. Juliana Tuwima, Osiedle Włókniarzy 10, 58-260 Bielawa"
9,97,"Szkoła Podstawowa nr 10 z Oddziałami Sportowymi, ul. Parkowa 12, 58-260 Bielawa"
9,96,"Żłobek Publiczny, ul. Generała Grota Roweckiego 7, 58-260 Bielawa"
9,98,"Klub """"Sowa"""" Spółdzielni Mieszkaniowej, ul. Jana III Sobieskiego 17, 58-260 Bielawa"
9,100,"Szkoła Podstawowa nr 10 z Oddziałami Sportowymi, ul. Generała Grota Roweckiego 6, 58-260 Bielawa"
9,101,"Przedszkole Publiczne nr 3, ul. 3 Maja 22, 58-260 Bielawa"
9,102,"Zespół Szkół Ogólnokształcących, ul. Szkolna 5, 58-260 Bielawa"
9,103,"Miejski Zarząd Budynków Mieszkalnych Sp. z o. o., ul. 3 Maja 48, 58-260 Bielawa"
9,104,"Zespół Ośrodków Wsparcia, ul. Lotnicza 5, 58-260 Bielawa"
9,106,"Szkoła Podstawowa nr 4 z Oddziałami Integracyjnymi, ul. Ludowa 11, 58-260 Bielawa"
9,107,"Zespół Szkół Cechu Rzemiosł Różnych Zasadnicza Szkoła Zawodowa Cechu Rzemiosł Różnych i Małej Przedsiębiorczości, ul. Polna 2, 58-260 Bielawa"
9,109,"Szkoła Podstawowa nr 4 z Oddziałami Integracyjnymi, ul. Ludwika Waryńskiego 50, 58-260 Bielawa"
9,110,"Dom Pomocy Społecznej, Stefana Żeromskiego 2, 58-260 Bielawa"
10,111,"Pracownicze Ogródki Działkowe """"Jar"""", ul. Złota 10, 58-200 Dzierżoniów"
10,112,"Przedszkole Publiczne nr 7, Osiedle Tęczowe 3, 58-200 Dzierżoniów"
10,113,"dawna siedziba Ośrodka Pomocy Społecznej, ul. Złota 8, 58-200 Dzierżoniów"
10,116,"Szkoła Podstawowa Nr 5 z Oddziałami Integracyjnymi, Osiedle Błękitne 25, 58-200 Dzierżoniów"
10,115,"Przedszkole Niepubliczne nr 3 """"Pod Topolą"""", Osiedle Błękitne 26, 58-200 Dzierżoniów"
10,117,"Szkoła Podstawowa nr 1, ul. Sikorskiego 2, 58-200 Dzierżoniów"
10,118,"Filia Miejsko-Powiatowej Biblioteki Publicznej im. K. K. Baczyńskiego w Dzierżoniowie, ul. Sikorskiego 2, 58-200 Dzierżoniów"
10,119,"Przedszkole Niepubliczne nr 4, Osiedle Jasne 21, 58-200 Dzierżoniów"
10,120,"Niepubliczny Żłobek """"Sówka"""" (dawny budynek po byłej Szkole Podstawowej nr 6), Osiedle Jasne 22, 58-200 Dzierżoniów"
10,121,"Niepubliczna Szkoła Podstawowa Sióstr Salezjanek, ul. Wrocławska 51, 58-200 Dzierżoniów"
10,122,"Dzienny Dom Senior +, ul. Krasickiego 25, 58-200 Dzierżoniów"
10,123,"I Liceum Ogólnokształcące im. Jędrzeja Śniadeckiego, ul. Piłsudskiego 10, 58-200 Dzierżoniów"
10,124,"Zespół Szkół Nr 3 im. Kombatantów Rzeczypospolitej Polskiej, ul. Słowiańska 6, 58-200 Dzierżoniów"
10,125,"dawny Biurowiec """"Silesiany"""", ul. Batalionów Chłopskich 19, 58-200 Dzierżoniów"
10,126,"Przedszkole Publiczne nr 1, ul. Batalionów Chłopskich 20, 58-200 Dzierżoniów"
10,127,"Szkoła Podstawowa nr 9, ul. Mikołaja Kopernika 7, 58-200 Dzierżoniów"
10,128,"Dzierżoniowski Ośrodek Kultury, ul. Świdnicka 23, 58-200 Dzierżoniów"
10,129,"Przedszkole Niepubliczne """"Słoneczna Piątka"""", ul. Świdnicka 41, 58-200 Dzierżoniów"
10,130,"Ośrodek Pomocy Społecznej, ul. Szkolna 24, 58-200 Dzierżoniów"
10,131,"Szkoła Podstawowa nr 3, ul. Nowowiejska 64, 58-200 Dzierżoniów"
10,132,"Areszt Śledczy, ul. Ząbkowicka 53, 58-200 Dzierżoniów"
10,133,"Niepubliczny Zakład Opieki Zdrowotnej Szpital Powiatowy Spółka z o. o., ul. Cicha 1, 58-200 Dzierżoniów"
11,134,"Niepubliczna Szkoła Podstawowa-Stowarzyszenie Nauczyciele Dzieciom, ul. Świdnicka 53, 58-250 Pieszyce"
11,135,"Zespół Szkół im Ks. Dzierżonia, Budynek B (łącznik), ul. Mickiewicza 1, 58-250 Pieszyce"
11,136,"Szkoła Podstawowa Nr 1, ul. Ogrodowa 23, 58-250 Pieszyce"
11,137,"Ośrodek Pomocy Społecznej, ul. Kopernika 124, 58-250 Pieszyce"
11,138,"Sala Sołecka, Kamionki 60, 58-250 Pieszyce"
11,139,"Świetlica Remizy Strażackiej OSP Piskorzów, Piskorzów 45a, 58-250 Pieszyce"
11,140,"Filia Miejskiej Biblioteki Publicznej-Centrum Kultury w Pieszycach, Rościszów 51a, 58-250 Pieszyce"
11,141,"Specjalistyczny Szpital Chorób Płuc w Rościszowie, Rościszów 11, 58-250 Pieszyce"
11,142,"Dom Pomocy Społecznej """"Zielone Wzgórza"""" (budynek 2), Rościszów 84, 58-250 Pieszyce"
12,143,"Szkoła Podstawowa, ul. Tedeusza Kościuszki 1, 58-240 Piława Górna"
12,144,"Szkoła Podstawowa, ul. Tadeusza Kościuszki 1, 58-240 Piława Górna"
12,145,"Świetlica Ochotniczej Straży Pożarnej, ul. Bolesława Limanowskiego 3, 58-240 Piława Górna"
13,146,"Świetlica Wiejska, Ruszowice ul. Tęczowa 55, 67-210 Głogów"
13,147,"Szkoła Podstawowa w Przedmościu, Przedmoście ul. Szkolna 3, 67-210 Głogów"
13,148,"Zespół Szkolno-Przedszkolny w Serbach, Serby ul. Ogrodowa 18, 67-210 Głogów"
13,149,"Szkoła Podstawowa w Wilkowie, Wilków ul. Głogowska 5 a, 67-200 Głogów"
14,150,"Szkoła Podstawowa, Jaczów ul. Główna 20, 67-210 Głogów"
14,151,"Szkoła Podstawowa, ul. Głogowska 19, 67-222 Jerzmanowa"
14,152,"Świetlica Wiejska, Kurowice 42A, 67-210 Głogów"
14,153,"Świetlica Wiejska, Bądzów 39A, 67-222 Jerzmanowa"
15,154,"Zespół Szkolno-Przedszkolny w Kotli Szkoła Podstawowa im. Kornela Makuszyńskiego, ul. Szkolna 2, 67-240 Kotla"
15,155,"Budynek komunalny, Chociemyśl 23, 67-240 Kotla"
15,156,"Budynek komunalny, Sobczyce 38, 67-240 Kotla"
15,157,"Sala wiejska, Głogówko 21, 67-240 Kotla"
15,158,"Sala wiejska, Skidniów 9, 67-240 Kotla"
16,159,"Gminny Ośrodek Kultury, Białołęka 12, 67-221 Białołęka"
16,160,"Świetlica Wiejska, Piersna 26, 67-221 Białołęka"
17,161,"Szkoła Podstawowa, Nielubia 80, 67-231 Żukowice"
17,162,"Szkoła Podstawowa, Brzeg Głogowski 27, 67-231 Żukowice"
18,163,"Państwowa Wyższa Szkoła Zawodowa, ul. Piotra Skargi 5, 67-200 Głogów"
18,164,"Zespół Szkół Politechnicznych, Plac Jana z Głogowa 7, 67-200 Głogów"
18,165,"Zespół Szkół Ogólnokształcących, ul. Jedności Robotniczej 10, 67-200 Głogów"
18,166,"Szkoła Podstawowa nr 2, Aleja Wolności 74, 67-200 Głogów"
18,170,"Szkoła Podstawowa nr 8, ul. Gustawa Morcinka 2, 67-200 Głogów"
18,168,"Miejska Biblioteka Publiczna, ul. Jedności Robotniczej 15, 67-200 Głogów"
18,169,"Przedszkole Publiczne nr 6, ul. Gustawa Morcinka 6, 67-200 Głogów"
18,171,"Szkoła Podstawowa nr 6, ul. Kościuszki 18, 67-200 Głogów"
18,175,"Szkoła Podstawowa nr 12, ul. Mikołaja Gomółki 43, 67-200 Głogów"
18,173,"Stowarzyszenie na Rzecz Integracji i Usamodzielniania """"Dom w Głogowie"""", ul. Okrężna 21, 67-200 Głogów"
18,174,"Przedszkole Publiczne nr 9, ul. Perseusza 3, 67-200 Głogów"
18,176,"Przedszkole Publiczne nr 19, ul. Plutona 3, 67-200 Głogów"
18,177,"Szkoła Podstawowa nr 10, ul. Andromedy 62, 67-200 Głogów"
18,179,"Szkoła Podstawowa nr 11, ul. Gwiaździsta 2, 67-200 Głogów"
18,181,"Przedszkole Publiczne nr 20, ul. Herkulesa 4, 67-200 Głogów"
18,184,"Szkoła Podstawowa nr 7, ul. Ignacego Daszyńskiego 11, 67-200 Głogów"
18,183,"Przedszkole Publiczne nr 7, ul. Stanisława Moniuszki 4a, 67-200 Głogów"
18,185,"Zespół Placówek Szkolno-Wychowawczych, ul. Sportowa 1, 67-200 Głogów"
18,186,"Szkoła Podstawowa nr 9, ul. Mieczysława Niedziałkowskiego 10, 67-200 Głogów"
18,187,"Miejskie Centrum Wspierania Rodziny, ul. Folwarczna 7, 67-200 Głogów"
18,188,"Szkoła Podstawowa nr 13, ul. Akacjowa 10, 67-200 Głogów"
18,189,"Szkoła Podstawowa nr 14, ul. Królewska 12, 67-200 Głogów"
18,190,"Przedszkole Publiczne nr 17, ul. Królewska 14, 67-200 Głogów"
18,193,"Szkoła Podstawowa nr 3, Plac Mieszka I 22, 67-200 Głogów"
18,195,"Przedszkole Publiczne nr 21, ul. Jagiellońska 37, 67-200 Głogów"
18,196,"Zakład Karny w Głogowie, ul. Lipowa 21, 67-200 Głogów"
18,197,"Dom Pomocy Społecznej """"Magnolia"""" w Głogowie, ul. Neptuna 22/24, 67-200 Głogów"
18,198,"Głogowski Szpital Powiatowy sp. z o. o., ul. Tadeusza Kościuszki 15, 67-200 Głogów"
19,199,"SPZOZ Ośrodek Rehabilitacji Dzieci Niepełnosprawnych, os. Kazimierza Wielkiego 25, 56-200 Góra"
19,200,"Ośrodek Pomocy Społecznej, ul. Poznańska 23, 56-200 Góra"
19,201,"Szkoła Podstawowa Nr 3, ul. Podwale 20, 56-200 Góra"
19,202,"Szkoła Podstawowa Nr 1, ul. Szkolna 2, 56-200 Góra"
19,203,"Przedszkole Publiczne Nr 1, ul. Stefana Żeromskiego 15, 56-200 Góra"
19,204,"Zespół Żłobek i Klub Dziecięcy, ul. Piastów 34, 56-200 Góra"
19,205,"Szkoła Podstawowa Nr 1, ul. Marii Konopnickiej 2, 56-200 Góra"
19,206,"Filia biblioteczna, Czernina ul. Rynek 8, 56-200 Góra"
19,207,"Świetlica Wiejska, Kłoda Górowska 45, 56-200 Góra"
19,208,"Świetlica Wiejska, Stara Góra 33A, 56-200 Góra"
19,209,"Zespół Szkoła Podstawowa i Przedszkole, Witoszyce 10, 56-200 Góra"
20,210,"Dom Kultury, Luboszyce 15, 56-209 Jemielno"
20,211,"Urząd Gminy Jemielno, Jemielno 81, 56-209 Jemielno"
20,212,"Świetlica Wiejska, Psary 44, 56-209 Jemielno"
21,213,"Zespół Szkół w Sicinach, Siciny 78, 56-215 Niechlów"
21,214,"Gminny Ośrodek Kultury, ul. Dworcowa 9, 56-215 Niechlów"
21,215,"Świetlica wiejska, Lipowiec 16, 56-215 Niechlów"
21,216,"Dom Pomocy Społecznej, Wroniniec 59, 56-215 Niechlów"
22,217,"Szkoła Podstawowa, Czarnoborsko 10, 56-210 Wąsosz"
22,218,"Ośrodek Pomocy Społecznej, ul. Krzywa 11, 56-210 Wąsosz"
22,219,"Zespół Placówek Kultury, ul. Zacisze 10D, 56-210 Wąsosz"
22,220,"Szkoła Podstawowa, Pobiel 75, 56-210 Wąsosz"
22,221,"Świetlica wiejska, Kamień Górowski 8A, 56-210 Wąsosz"
23,222,"Gminno-Miejski Ośrodek Kultury, Sportu i Rekreacji, ul. Szpitalna 16, 59-420 Bolków"
23,223,"Internat Zespołu Szkół i Placówek Oświatowych w Bolkowie, ul. Mickiewicza 1, 59-420 Bolków"
23,224,"Gminno-Miejski Zakład Budżetowy Gospodarki Komunalnej i Mieszkaniowej, ul. Kolejowa 5, 59-420 Bolków"
23,225,"Przedszkole Samorządowe, ul. Sienkiewicza 39, 59-420 Bolków"
23,226,"Świetlica Wiejska, Mysłów 44, 59-420 Bolków"
23,227,"Świetlica Wiejska, Kaczorów ul. Nowa Wieś 1B, 59-420 Bolków"
23,228,"Świetlica Wiejska, Lipa, 59-420 Bolków"
23,229,"Szkoła Podstawowa, Sady Górne 94, 59-420 Bolków"
23,230,"Świetlica Wiejska, Wierzchosławice 106, 59-420 Bolków"
23,231,"Świetlica Wiejska, Stare Rochowice 53, 59-420 Bolków"
23,232,"Świetlica Wiejska, Wolbromek 43B, 59-420 Bolków"
23,233,"Dom Pomocy Społecznej w Jaworze Filia w Bolkowie, ul. Kamiennogórska 3, 59-420 Bolków"
23,234,"Zakład Opiekuńczo-Leczniczy w Bolkowie, ul. Wysokogórska 19, 59-420 Bolków"
24,235,"Zespół Szkolno-Przedszkolny w Męcince, Męcinka 10B, 59-424 Męcinka"
24,236,"Świetlica Wiejska, Małuszów 17, 59-424 Męcinka"
24,237,"Była Szkoła Filialna, Pomocne 51, 59-424 Męcinka"
24,238,"Zespół Szkolno-Przedszkolny w Piotrowicach, Piotrowice 139, 59-424 Męcinka"
25,239,"Zespół Szkolno-Przedszkolny w Targoszynie, Targoszyn 51, 59-407 Mściwojów"
25,240,"Szkoła Podstawowa w Snowidzy, Snowidza 91A, 59-407 Mściwojów"
25,241,"Świetlica wiejska w Mściwojowie, Mściwojów 54B, 59-407 Mściwojów"
26,242,"Świetlica Wiejska w Paszowicach, Paszowice 136, 59-411 Paszowice"
26,243,"Świetlica Wiejska w Wiadrowie, Wiadrów 39A, 59-411 Paszowice"
27,244,"Szkoła Podstawowa, Budziszów Wielki 10, 59-430 Wądroże Wielkie"
27,245,"Szkoła Podstawowa, Wądroże Wielkie 169, 59-430 Wądroże Wielkie"
27,246,"Dom Pomocy Społecznej w Jaworze-Dom w Mierczycach, Mierczyce 34, 59-430 Wądroże Wielkie"
28,247,"Szkoła Podstawowa Nr 5, ul. Armii Krajowej 9, 59-400 Jawor"
28,248,"Europejskie Centrum Młodzieży Euroregionu NYSA, ul. Parkowa 5, 59-400 Jawor"
28,249,"Powiatowe Centrum Kształcenia Zawodowego i Ustawicznego, ul. Wrocławska 30a, 59-400 Jawor"
28,250,"Szkoła Podstawowa Nr 2, Plac Bankowy 1, 59-400 Jawor"
28,251,"Dolnośląski Zespół Szkół w Jaworze, ul. kard. Stefana Wyszyńskiego 1, 59-400 Jawor"
28,252,"Miejska Biblioteka Publiczna, Plac Seniora 4, 59-400 Jawor"
28,253,"Filia Nr 1 Miejskiej Biblioteki Publicznej, ul. Stanisława Moniuszki 10, 59-400 Jawor"
28,254,"Szkoła Podstawowa Nr 1, ul. Stanisława Moniuszki 4, 59-400 Jawor"
28,255,"Specjalny Ośrodek Szkolno-Wychowawczy, ul. Ignacego Paderewskiego 6, 59-400 Jawor"
28,256,"budynek po byłej Szkole Podstawowej Nr 1, ul. Bolesława Limanowskiego 10, 59-400 Jawor"
28,257,"Oddział zamiejscowy Przedszkola Publicznego nr 4, ul. Romana Dmowskiego 5, 59-400 Jawor"
28,258,"Szkoła Podstawowa nr 4, ul. Starojaworska 82, 59-400 Jawor"
28,259,"Dom Pomocy Społecznej w Jaworze, pl. Seniora 3, 59-400 Jawor"
28,260,"Jaworskie Centrum Medyczne Sp. z o. o., ul. Szpitalna 3, 59-400 Jawor"
29,261,"Budynek przy ulicy Goduszyńskiej, ul. Goduszyńska 11, 58-500 Jelenia Góra"
29,262,"Biuro Wystaw Artystycznych, ul. Długa 1, 58-500 Jelenia Góra"
29,263,"Powiatowa Stacja Sanitarno-Epidemiologiczna, ul. Kasprowicza 17, 58-500 Jelenia Góra"
29,264,"Zespół Szkół Technicznych """"Mechanik"""", ul. Obrońców Pokoju 10, 58-500 Jelenia Góra"
29,265,"Szkoła Podstawowa Nr 13, ul. Piotra Skargi 19, 58-500 Jelenia Góra"
29,266,"Zespół Szkół Elektronicznych, ul. Grunwaldzka 64a, 58-500 Jelenia Góra"
29,267,"Stadion Miejski, ul. Złotnicza 12, 58-500 Jelenia Góra"
29,268,"Szkoła Podstawowa Nr 5, ul. Lotnictwa 1, 58-500 Jelenia Góra"
29,269,"Aeroklub Jeleniogórski, ul. Łomnicka 15, 58-500 Jelenia Góra"
29,270,"Jeleniogórskie Centrum Kultury, ul. 1 Maja 60, 58-500 Jelenia Góra"
29,271,"Szkoła Podstawowa Nr 2, ul. Armii Krajowej 8, 58-500 Jelenia Góra"
29,272,"Książnica Karkonoska, Filia nr 6, ul. Wrocławska 71, 58-506 Jelenia Góra"
29,303,"Wojewódzkie Centrum Szpitalne Kotliny Jeleniogórskiej, ul. Ogińskiego 6, 58-506 Jelenia Góra"
29,283,"Zespół Szkół Ogólnokształcących i Technicznych, Aleja Jana Pawła II 25, 58-506 Jelenia Góra"
29,276,"Szkoła Podstawowa Nr 8, ul. Paderewskiego 13, 58-506 Jelenia Góra"
29,277,"Szkoła Podstawowa Nr 11, ul. Karłowicza 33, 58-506 Jelenia Góra"
29,279,"Szkoła Podstawowa Nr 11, ul. Moniuszki 9, 58-506 Jelenia Góra"
29,280,"Centrum Edukacji Diagnozy Rozwoju CEDR, ul. Kiepury 10 - 12, 58-506 Jelenia Góra"
29,281,"Urząd Pocztowy Jelenia Góra 14, ul. Sygietyńskiego 8, 58-506 Jelenia Góra"
29,282,"Osiedlowy Dom Kultury, ul. Komedy Trzcińskiego 12, 58-506 Jelenia Góra"
29,284,"Uniwersytet Ekonomiczny we Wrocławiu, Wydział Ekonomii, Zarządzania i Turystyki, ul. Nowowiejska 3, 58-500 Jelenia Góra"
29,285,"Jeleniogórskie Centrum Informacji i Edukacji Regionalnej """"Książnica Karkonoska"""", ul. Bankowa 27, 58-500 Jelenia Góra"
29,291,"Szkoła Podstawowa Nr 10, ul. Morcinka 31, 58-500 Jelenia Góra"
29,287,"Poradnia Profilaktyki, Leczenia i Terapii Uzależnień """"Monar"""", ul. Wolności 70, 58-500 Jelenia Góra"
29,288,"Agroland, ul. Kalinowa 16, 58-500 Jelenia Góra"
29,289,"Szkoła Podstawowa Nr 7, ul. Sudecka 53, 58-500 Jelenia Góra"
29,290,"Miejski Zakład Komunikacyjny Spółka z o. o., ul. Wolności 145, 58-500 Jelenia Góra"
29,292,"Politechnika Wrocławska, Wydział Techniczno-Informatyczny, Plac Piastowski 27, 58-560 Jelenia Góra"
29,293,"Termy Cieplickie Spółka z o. o., ul. Park Zdrojowy 5, 58-560 Jelenia Góra"
29,294,"Szkoła Podstawowa Nr 3, ul. PCK 14a, 58-560 Jelenia Góra"
29,295,"Miejskie Integracyjne Przedszkole Nr 14, ul. Junaków 2a, 58-560 Jelenia Góra"
29,296,"Zespół Szkół Rzemiosł Artystycznych, ul. Cieplicka 34, 58-560 Jelenia Góra"
29,297,"Szkoła Podstawowa Nr 6, ul. Cieplicka 74, 58-560 Jelenia Góra"
29,298,"Zespół Szkół Ogólnokształcących Nr 2, ul. Gimnazjalna 2, 58-560 Jelenia Góra"
29,299,"Miejski Dom Kultury """"MUFLON"""", ul. Cieplicka 172, 58-570 Jelenia Góra"
29,300,"Szkoła Podstawowa Nr 15, ul. Kamiennogórska 9, 58-570 Jelenia Góra"
29,301,"Muzeum Miejskie „Dom Gerharta Hauptmana”, ul. Michałowicka 32, 58-570 Jelenia Góra"
29,302,"Zakład Opiekuńczo-Leczniczy o Profilu Rehabilitacyjnym, ul. Żeromskiego 2, 58-500 Jelenia Góra"
29,304,"Areszt Śledczy, ul. Grottgera 2, 58-500 Jelenia Góra"
29,305,"Dom Pomocy Społecznej """"Pogodna Jesień"""", ul. Leśna 3, 58-560 Jelenia Góra"
