id,id_wojewodztwa,nazwa
315,13,lidzbarski
316,13,mrągowski
317,13,nidzicki
318,13,nowomiejski
319,13,olecki
320,13,Olsztyn
321,13,olsztyński
322,13,ostródzki
323,13,piski
324,13,szczycieński
325,13,węgorzewski
326,14,chodzieski
327,14,czarnkowsko-trzcianecki
328,14,gnieźnieński
329,14,gostyński
330,14,grodziski
331,14,jarociński
332,14,kaliski
333,14,Kalisz
334,14,kępiński
335,14,kolski
336,14,Konin
337,14,koniński
338,14,kościański
339,14,krotoszyński
340,14,leszczyński
341,14,Leszno
342,14,międzychodzki
343,14,nowotomyski
344,14,obornicki
345,14,ostrowski
346,14,ostrzeszowski
347,14,pilski
348,14,pleszewski
349,14,Poznań
350,14,poznański
351,14,rawicki
352,14,słupecki
353,14,szamotulski
354,14,średzki
355,14,śremski
356,14,turecki
357,14,wągrowiecki
358,14,wolsztyński
359,14,wrzesiński
360,14,złotowski
361,15,białogardzki
362,15,choszczeński
363,15,drawski
364,15,goleniowski
365,15,gryficki
366,15,gryfiński
367,15,kamieński
368,15,kołobrzeski
369,15,Koszalin
370,15,koszaliński
371,15,łobeski
372,15,myśliborski
373,15,policki
374,15,pyrzycki
375,15,sławieński
376,15,stargardzki
377,15,Szczecin
378,15,szczecinecki
379,15,świdwiński
380,15,Świnoujście
381,15,wałecki
