id,id_gminy,siedziba
61,5,"Zespó³ Opieki Zdrowotnej w Boles³awcu, ul. Jeleniogórska 4, 59-700 Boles³awiec"
62,5,"Wojewódzki Szpital dla Nerwowo i Psychicznie Chorych w Boles³awcu, Aleja Tysi¹clecia 30, 59-700 Boles³awiec"
63,5,"Dom Pomocy Spo³ecznej w Boles³awcu, ul. Piastów 17, 59-700 Boles³awiec"
64,6,"Centrum Biblioteczno-Kulturalne, ul. Kolejowa 12B, 58-116 Moœcisko"
65,6,"Centrum Biblioteczno-Kulturalne, ul. Kolejowa 12B, 58-116 Moœcisko"
66,6,"Sala Integracji Spo³ecznej, W³óki 78, 58-207 Tuszyn"
67,6,"Szko³a Podstawowa im. Jana Paw³a II, Tuszyn 47, 58-207 Tuszyn"
68,6,"Park wiejski z infrastruktur¹ sportowo-rekreacyjn¹, Ksi¹¿nica 5A, 58-207 Tuszyn"
69,6,"Filia Nr 2 Biblioteki Publicznej, ul. Piastowska 1, 58-211 Uciechów"
70,6,"Centrum Kulturalno-Sportowo-Oœwiatowe, Dobrocin ul. Koœciuszki 14A, 58-200 Dzier¿oniów"
71,6,"Budynek wielofunkcyjny, Roztocznik 41A, 58-217 Gilów"
72,6,"Zespó³ Szkolno-Przedszkolny, ul. G³ówna 50, 58-241 Pi³awa Dolna"
73,6,"Œwietlica wiejska, Owiesno 88, 58-262 Ostroszowice"
74,6,"Zespó³ Szkolno-Przedszkolny, ul. Bielawska 58, 58-262 Ostroszowice"
75,6,"Domek Myœliwski, Jod³ownik 40, 58-262 Ostroszowice"
76,6,"Biuro Wychowawcy, B³otnista 12, 58-241 Pi³awa Dolna"
77,7,"Szko³a Podstawowa im. Adama Mickiewicza, JaŸwina 79, 58-212 JaŸwina"
78,7,"Sala Wiejska, Ratajno 55, 58-210 £agiewniki"
79,7,"Sala Wiejska, ul. Weso³a 9, 58-214 Oleszna"
80,7,"Sala Wiejska, Radzików 56, 58-210 £agiewniki"
81,7,"Gminny Oœrodek Kultury, Bibliotek i Sportu, ul. Wroc³awska 1, 58-210 £agiewniki"
82,7,"Szko³a Podstawowa im. Jana Paw³a II, ul. Jednoœci Narodowej 38, 58-210 £agiewniki"
83,8,"Szko³a Podstawowa w Niemczy, ul. Boles³awa Chrobrego 25, 58-230 Niemcza"
84,8,"Niemczañski Oœrodek Kultury, ul. Rynek 32, 58-230 Niemcza"
85,8,"Dom Pomocy Spo³ecznej, ul. Kolejowa 14 - 16, 58-230 Niemcza"
86,8,"Niepubliczna Szko³a Podstawowa, Przerzeczyn-Zdrój ul. Zdrojowa 14, 58-231 Niemcza"
87,8,"Budynek gminny, Wilków Wielki 26, 58-230 Niemcza"
88,8,"Niepubliczna Szko³a Podstawowa, Gilów 49, 58-217 Niemcza"
89,9,"Bielawski Inkubator Przedsiêbiorczoœci Sala Konferencyjna, ul. Wolnoœci 24, 58-260 Bielawa"
90,9,"Ekologiczna Szko³a Podstawowa nr 7 im. Juliana Tuwima, ul. Brze¿na 48, 58-260 Bielawa"
91,9,"Zespó³ Szkó³ i Placówek Kszta³cenia Zawodowego, ul. Stefana ¯eromskiego 41, 58-260 Bielawa"
92,9,"Klub Spó³dzielni Mieszkaniowej, Osiedle W³ókniarzy 1, 58-260 Bielawa"
93,9,"Ekologiczna Szko³a Podstawowa nr 7 im. Juliana Tuwima, Osiedle W³ókniarzy 10, 58-260 Bielawa"
94,9,"Szko³a Podstawowa nr 10 z Oddzia³ami Sportowymi, ul. Parkowa 12, 58-260 Bielawa"
95,9,"Szko³a Podstawowa nr 10 z Oddzia³ami Sportowymi, ul. Parkowa 12, 58-260 Bielawa"
96,9,"¯³obek Publiczny, ul. Genera³a Grota Roweckiego 7, 58-260 Bielawa"
97,9,"Szko³a Podstawowa nr 10 z Oddzia³ami Sportowymi, ul. Parkowa 12, 58-260 Bielawa"
98,9,"Klub ""Sowa"" Spó³dzielni Mieszkaniowej, ul. Jana III Sobieskiego 17, 58-260 Bielawa"
99,9,"Szko³a Podstawowa nr 10 z Oddzia³ami Sportowymi, ul. Genera³a Grota Roweckiego 6, 58-260 Bielawa"
100,9,"Szko³a Podstawowa nr 10 z Oddzia³ami Sportowymi, ul. Genera³a Grota Roweckiego 6, 58-260 Bielawa"
101,9,"Przedszkole Publiczne nr 3, ul. 3 Maja 22, 58-260 Bielawa"
102,9,"Zespó³ Szkó³ Ogólnokszta³c¹cych, ul. Szkolna 5, 58-260 Bielawa"
103,9,"Miejski Zarz¹d Budynków Mieszkalnych Sp. z o. o., ul. 3 Maja 48, 58-260 Bielawa"
104,9,"Zespó³ Oœrodków Wsparcia, ul. Lotnicza 5, 58-260 Bielawa"
105,9,"Szko³a Podstawowa nr 4 z Oddzia³ami Integracyjnymi, ul. Ludowa 11, 58-260 Bielawa"
106,9,"Szko³a Podstawowa nr 4 z Oddzia³ami Integracyjnymi, ul. Ludowa 11, 58-260 Bielawa"
107,9,"Zespó³ Szkó³ Cechu Rzemios³ Ró¿nych Zasadnicza Szko³a Zawodowa Cechu Rzemios³ Ró¿nych i Ma³ej Przedsiêbiorczoœci, ul. Polna 2, 58-260 Bielawa"
108,9,"Szko³a Podstawowa nr 4 z Oddzia³ami Integracyjnymi, ul. Ludwika Waryñskiego 50, 58-260 Bielawa"
109,9,"Szko³a Podstawowa nr 4 z Oddzia³ami Integracyjnymi, ul. Ludwika Waryñskiego 50, 58-260 Bielawa"
110,9,"Dom Pomocy Spo³ecznej, Stefana ¯eromskiego 2, 58-260 Bielawa"
111,10,"Pracownicze Ogródki Dzia³kowe ""Jar"", ul. Z³ota 10, 58-200 Dzier¿oniów"
112,10,"Przedszkole Publiczne nr 7, Osiedle Têczowe 3, 58-200 Dzier¿oniów"
113,10,"dawna siedziba Oœrodka Pomocy Spo³ecznej, ul. Z³ota 8, 58-200 Dzier¿oniów"
