id_lokalu,id_kandydata,ile
12620,2380,37
12620,2381,8
12620,2382,10
12620,2383,0
12620,2384,0
12620,2385,0
12620,2386,0
12620,2387,1
12620,2388,0
12620,2389,1
12620,2390,0
12620,2391,0
12620,2392,1
12620,2393,0
12620,2394,0
12620,2395,0
12620,2396,0
12620,2397,1
12620,2398,1
12620,2399,0
12620,2400,1
12620,2401,1
12620,2402,0
12620,2403,1
12620,2404,0
12620,2405,0
12620,2406,0
12620,2407,0
12620,2408,0
12620,2409,0
12620,2410,0
12620,2411,1
12620,2412,0
12620,2413,0
12620,2414,1
12620,2415,1
12620,2416,0
12620,2417,0
12620,2418,0
12620,3296,190
12620,3297,17
12620,3298,18
12620,3299,1
12620,3300,11
12620,3301,1
12620,3302,5
12620,3303,3
12620,3304,14
12620,3305,1
12620,3306,1
12620,3307,0
12620,3308,4
12620,3309,2
12620,3310,4
12620,3311,1
12620,3312,1
12620,3313,0
12620,3314,0
12620,3315,4
12620,3316,0
12620,3317,0
12620,3318,0
12620,3319,2
12620,3320,3
12620,3321,1
12620,3322,1
12620,3323,1
12620,3324,0
12620,3325,1
12620,3326,1
12620,3327,0
12620,3328,1
12620,3329,1
12620,3330,4
12620,3331,1
12620,3332,0
12620,3333,1
12620,3334,0
12620,3335,6
12620,422,146
12620,423,15
12620,424,12
12620,425,6
12620,426,5
12620,427,1
12620,428,5
12620,429,1
12620,430,0
12620,431,2
12620,432,2
12620,433,1
12620,434,3
12620,435,1
12620,436,1
12620,437,1
12620,438,0
12620,439,1
12620,440,1
12620,441,16
12620,442,0
12620,443,1
12620,444,2
12620,445,2
12620,446,1
12620,447,0
12620,448,0
12620,449,0
12620,450,1
12620,451,1
12620,452,1
12620,453,0
12620,454,0
12620,455,0
12620,456,3
12620,457,2
12620,458,2
12620,459,1
12620,460,1
12620,461,6
12620,4206,32
12620,4207,10
12620,4208,5
12620,4209,2
12620,4210,0
12620,4211,1
12620,4212,2
12620,4213,5
12620,4214,2
12620,4215,2
12620,4216,1
12620,4217,0
12620,4218,0
12620,4219,0
12620,4220,1
12620,4221,0
12620,4222,2
12620,4223,0
12620,4224,0
12620,4225,0
12620,4226,0
12620,4227,0
12620,4228,1
12620,4229,0
12620,4230,0
12620,4231,0
12620,4232,0
12620,4233,1
12620,4234,1
12620,4235,2
12620,4236,0
12620,4237,0
12620,4238,0
12620,4239,0
12620,4240,0
12620,4241,0
12620,4242,0
12620,4243,1
12620,4244,0
12620,4245,3
12620,1335,366
12620,1336,26
12620,1337,17
12620,1338,3
12620,1339,2
12620,1340,5
12620,1341,4
12620,1342,2
12620,1343,1
12620,1344,6
12620,1345,0
12620,1346,1
12620,1347,3
12620,1348,0
12620,1349,2
12620,1350,0
12620,1351,0
12620,1352,0
12620,1353,6
12620,1354,0
12620,1355,0
12620,1356,0
12620,1357,0
12620,1358,2
12620,1359,0
12620,1360,1
12620,1361,0
12620,1362,0
12620,1363,2
12620,1364,0
12620,1365,1
12620,1366,0
12620,1367,0
12620,1368,0
12620,1369,0
12620,1370,0
12620,1371,1
12620,1372,0
12620,1373,1
12620,1374,10
12620,2380,42
12620,2381,10
12620,2382,11
12620,2383,5
12620,2384,0
12620,2385,1
12620,2386,3
12620,2387,0
12620,2388,1
12620,2389,5
12620,2390,1
12620,2391,0
12620,2392,1
12620,2393,0
12620,2394,0
12620,2395,0
12620,2396,0
12620,2397,0
12620,2398,0
12620,2399,1
12620,2400,0
12620,2401,1
12620,2402,1
12620,2403,0
12620,2404,2
12620,2405,3
12620,2406,1
12620,2407,2
12620,2408,0
12620,2409,0
12620,2410,1
12620,2411,0
12620,2412,0
12620,2413,1
12620,2414,0
12620,2415,1
12620,2416,0
12620,2417,0
12620,2418,1
12620,3296,191
12620,3297,24
12620,3298,9
12620,3299,8
12620,3300,12
12620,3301,6
12620,3302,3
12620,3303,7
12620,3304,17
12620,3305,4
12620,3306,2
12620,3307,1
12620,3308,0
12620,3309,4
12620,3310,1
12620,3311,1
12620,3312,0
12620,3313,0
12620,3314,0
12620,3315,2
12620,3316,0
12620,3317,0
12620,3318,2
12620,3319,1
12620,3320,0
12620,3321,1
12620,3322,0
12620,3323,2
12620,3324,2
12620,3325,1
12620,3326,0
12620,3327,1
12620,3328,0
12620,3329,0
12620,3330,0
12620,3331,1
12620,3332,0
12620,3333,0
12620,3334,0
12620,3335,4
12620,422,198
12620,423,23
12620,424,25
12620,425,17
12620,426,3
12620,427,9
12620,428,6
12620,429,1
12620,430,5
12620,431,3
12620,432,0
12620,433,1
12620,434,5
12620,435,1
12620,436,1
12620,437,1
12620,438,0
12620,439,1
12620,440,1
12620,441,14
12620,442,2
12620,443,2
12620,444,3
12620,445,0
12620,446,1
12620,447,1
12620,448,1
12620,449,0
12620,450,2
12620,451,0
12620,452,0
12620,453,1
12620,454,0
12620,455,0
12620,456,1
12620,457,0
12620,458,0
12620,459,0
12620,460,4
12620,461,9
12620,4206,73
12620,4207,9
12620,4208,5
12620,4209,5
12620,4210,2
12620,4211,2
12620,4212,2
12620,4213,3
12620,4214,0
12620,4215,2
12620,4216,1
12620,4217,1
12620,4218,1
12620,4219,0
12620,4220,1
12620,4221,2
12620,4222,0
12620,4223,1
12620,4224,0
12620,4225,1
12620,4226,0
12620,4227,0
12620,4228,0
12620,4229,0
12620,4230,2
12620,4231,0
12620,4232,0
12620,4233,2
12620,4234,0
12620,4235,1
12620,4236,0
12620,4237,0
12620,4238,0
12620,4239,0
12620,4240,0
12620,4241,0
12620,4242,1
12620,4243,0
12620,4244,0
12620,4245,3
12620,1335,641
12620,1336,36
12620,1337,45
12620,1338,10
12620,1339,9
12620,1340,9
12620,1341,17
12620,1342,6
12620,1343,17
12620,1344,1
12620,1345,6
12620,1346,3
12620,1347,7
12620,1348,1
12620,1349,11
12620,1350,1
12620,1351,0
12620,1352,3
12620,1353,1
12620,1354,1
12620,1355,6
12620,1356,1
12620,1357,0
12620,1358,4
12620,1359,0
12620,1360,2
12620,1361,1
12620,1362,1
12620,1363,0
12620,1364,0
12620,1365,0
12620,1366,1
12620,1367,0
12620,1368,1
12620,1369,1
12620,1370,2
12620,1371,1
12620,1372,3
12620,1373,3
12620,1374,19
12624,2380,60
12624,2381,9
12624,2382,22
12624,2383,6
12624,2384,2
12624,2385,1
12624,2386,2
12624,2387,1
12624,2388,2
12624,2389,1
12624,2390,1
12624,2391,1
12624,2392,0
12624,2393,2
12624,2394,0
12624,2395,0
12624,2396,0
12624,2397,0
12624,2398,0
12624,2399,0
12624,2400,1
12624,2401,2
12624,2402,0
12624,2403,0
12624,2404,0
12624,2405,0
12624,2406,2
12624,2407,0
12624,2408,2
12624,2409,0
12624,2410,1
12624,2411,0
12624,2412,0
12624,2413,0
12624,2414,0
12624,2415,1
12624,2416,0
12624,2417,2
12624,2418,4
12624,3296,204
12624,3297,9
12624,3298,16
12624,3299,9
12624,3300,14
12624,3301,4
12624,3302,3
12624,3303,6
12624,3304,7
12624,3305,4
12624,3306,2
12624,3307,4
12624,3308,2
12624,3309,4
12624,3310,4
12624,3311,1
12624,3312,0
12624,3313,0
12624,3314,1
12624,3315,2
12624,3316,1
12624,3317,0
12624,3318,12
12624,3319,1
12624,3320,0
12624,3321,1
12624,3322,1
12624,3323,0
