id,nazwa
0,dolnoœl¹skie
1,kujawsko-pomorskie
2,lubelskie
3,lubuskie
4,³ódzkie
5,ma³opolskie
6,mazowieckie
7,opolskie
8,podkarpackie
9,podlaskie
10,pomorskie
11,œl¹skie
12,œwiêtokrzyskie
13,warmiñsko-mazurskie
14,wielkopolskie
15,zachodniopomorskie
