id,id_wojewodztwa,nazwa
299,12,piñczowski
300,12,sandomierski
301,12,skar¿yski
302,12,starachowicki
303,12,staszowski
304,12,w³oszczowski
305,13,bartoszycki
306,13,braniewski
307,13,dzia³dowski
308,13,Elbl¹g
309,13,elbl¹ski
310,13,e³cki
311,13,gi¿ycki
312,13,go³dapski
313,13,i³awski
314,13,kêtrzyñski
315,13,lidzbarski
316,13,mr¹gowski
317,13,nidzicki
318,13,nowomiejski
319,13,olecki
320,13,Olsztyn
321,13,olsztyñski
322,13,ostródzki
323,13,piski
324,13,szczycieñski
325,13,wêgorzewski
326,14,chodzieski
327,14,czarnkowsko-trzcianecki
328,14,gnieŸnieñski
329,14,gostyñski
330,14,grodziski
331,14,jarociñski
332,14,kaliski
333,14,Kalisz
334,14,kêpiñski
335,14,kolski
336,14,Konin
337,14,koniñski
338,14,koœciañski
339,14,krotoszyñski
340,14,leszczyñski
341,14,Leszno
342,14,miêdzychodzki
343,14,nowotomyski
344,14,obornicki
345,14,ostrowski
346,14,ostrzeszowski
347,14,pilski
348,14,pleszewski
349,14,Poznañ
350,14,poznañski
351,14,rawicki
352,14,s³upecki
353,14,szamotulski
354,14,œredzki
355,14,œremski
356,14,turecki
357,14,w¹growiecki
358,14,wolsztyñski
359,14,wrzesiñski
360,14,z³otowski
361,15,bia³ogardzki
362,15,choszczeñski
363,15,drawski
364,15,goleniowski
365,15,gryficki
366,15,gryfiñski
367,15,kamieñski
368,15,ko³obrzeski
369,15,Koszalin
370,15,koszaliñski
371,15,³obeski
372,15,myœliborski
373,15,policki
374,15,pyrzycki
375,15,s³awieñski
376,15,stargardzki
377,15,Szczecin
378,15,szczecinecki
379,15,œwidwiñski
380,15,Œwinoujœcie
381,15,wa³ecki
